attempt=2
returncode=0
elapsed_sec=20.80

STDOUT:
Epoch: 071, Loss: 0.1090, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 072, Loss: 0.0760, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 073, Loss: 0.0807, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 074, Loss: 0.1052, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 075, Loss: 0.0791, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 076, Loss: 0.0738, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 077, Loss: 0.0710, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 078, Loss: 0.0885, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 079, Loss: 0.0857, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 080, Loss: 0.0908, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 081, Loss: 0.0840, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 082, Loss: 0.0727, Val F1: 0.6000, Val Acc: 0.7143, Val Prec: 0.6923, Val Rec: 0.5294
Epoch: 083, Loss: 0.0758, Val F1: 0.6000, Val Acc: 0.7143, Val Prec: 0.6923, Val Rec: 0.5294
Epoch: 084, Loss: 0.0687, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 085, Loss: 0.0869, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 086, Loss: 0.0631, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 087, Loss: 0.0738, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 088, Loss: 0.0709, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 089, Loss: 0.0947, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 090, Loss: 0.0710, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 091, Loss: 0.0678, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 092, Loss: 0.0738, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 093, Loss: 0.0564, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 094, Loss: 0.0546, Val F1: 0.5185, Val Acc: 0.6905, Val Prec: 0.7000, Val Rec: 0.4118
Epoch: 095, Loss: 0.0594, Val F1: 0.6207, Val Acc: 0.7381, Val Prec: 0.7500, Val Rec: 0.5294
Epoch: 096, Loss: 0.0664, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 097, Loss: 0.0735, Val F1: 0.6000, Val Acc: 0.7143, Val Prec: 0.6923, Val Rec: 0.5294
Epoch: 098, Loss: 0.0611, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 099, Loss: 0.0553, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 100, Loss: 0.0623, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 101, Loss: 0.0533, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 102, Loss: 0.0448, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 103, Loss: 0.0703, Val F1: 0.5000, Val Acc: 0.6667, Val Prec: 0.6364, Val Rec: 0.4118
Epoch: 104, Loss: 0.0558, Val F1: 0.5000, Val Acc: 0.6667, Val Prec: 0.6364, Val Rec: 0.4118
Epoch: 105, Loss: 0.0493, Val F1: 0.6000, Val Acc: 0.7143, Val Prec: 0.6923, Val Rec: 0.5294
Epoch: 106, Loss: 0.0410, Val F1: 0.7273, Val Acc: 0.7857, Val Prec: 0.7500, Val Rec: 0.7059
